"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00014735	SRR2100826	tuberculosis	S	S	R	S	S	S	S	R	R	S
MTBC_A2	C00014734	SRR2100825	tuberculosis	S	S	S	 	 	 	 	 	S	S
MTBC_A2	C00014737	SRR2100828	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A2	C00014736	SRR2100827	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014545	SRR2100746	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016915	SRR2101154	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016914	SRR2101153	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016913	SRR2101152	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003809	ERR039339	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003808	ERR039338	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003807	ERR039337	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00003806	ERR039336	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00003805	ERR039335	tuberculosis	S	S	S	 	 	 	S	S	 	 
MTBC_A2	C00003804	ERR039334	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003803	ERR039333	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00003802	ERR039332	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003800	ERR039330	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008779	SRR2100238	tuberculosis	R	R	S	S	 	S	 	S	S	S
MTBC_A2	C00008773	SRR2100233	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008902	SRR2100355	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008901	SRR2100354	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008900	SRR2100353	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008691	SRR2100164	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008695	SRR2100167	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008694	SRR2100166	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00016941	SRR2101180	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012893	SRR2100490	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005418	ERR046883	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005419	ERR046884	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012928	SRR2100520	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012929	SRR2100521	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005412	ERR046877	tuberculosis	S	S	S	 	 	 	R	S	 	 
MTBC_A2	C00005410	ERR046875	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005411	ERR046876	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005416	ERR046881	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005414	ERR046879	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005415	ERR046880	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00014855	SRR2100920	tuberculosis	R	R	R	 	 	 	 	S	 	 
